04/15/2016 17:19:07	rule engine	Reloading files
04/15/2016 17:23:44	7xxx hwio	Reloading files
04/15/2016 17:23:44	rule engine	Reloading files
04/16/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0416.log
04/17/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0417.log
04/18/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0418.log
04/19/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0419.log
04/20/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0420.log
04/21/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0421.log
04/22/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0422.log
04/23/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0423.log
04/24/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0424.log
04/25/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0425.log
04/26/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0426.log
04/27/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0427.log
04/28/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0428.log
04/29/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0429.log
04/30/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0430.log
05/01/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0501.log
05/02/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0502.log
05/03/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0503.log
05/04/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0504.log
05/05/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0505.log
05/06/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0506.log
05/07/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0507.log
05/08/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0508.log
05/09/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0509.log
05/10/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0510.log
05/11/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0511.log
05/12/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0512.log
05/13/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0513.log
05/14/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0514.log
05/15/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0515.log
05/16/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0516.log
05/17/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0517.log
05/18/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0518.log
05/19/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0519.log
05/20/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0520.log
05/21/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0521.log
05/22/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0522.log
05/23/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0523.log
05/24/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0524.log
05/25/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0525.log
05/26/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0526.log
05/27/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0527.log
05/28/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0528.log
05/29/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0529.log
05/30/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0530.log
05/31/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0531.log
06/01/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0601.log
06/02/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0602.log
06/03/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0603.log
06/04/2016 00:00:18	ctlLogger	New logger filename: /var/vesta/sd/logs/0604.log
